Country,Regulator,Issuance,Year,Scope,Detailed requirements (EN),Primary fraud controls,Customer/user protection,Authentication/tech,Incident reporting,Prescribed reporting template?,Contents of reporting template,Enforcement actions for non-compliance,Source_Original,Source_EN,Amendment_Of
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Reporting of Fraud Incidents (BU/N-3/2022/74),2022.0,"All banks in Brunei Darussalam licensed under  Banking Order, 2006;

All licensed, registered, or regulated financial institutions  and approved operators of payment systems that have been approved to operate in BruneiDarussalam






","•	Notice on Reporting of Fraud Incidents : Banks must establish their own fraud policy approved by their respective Board of Directors. The policy should define the classification of fraud incidents (material or non-material). Banks shall also notify BDCB within 1 working day upon detection of suspected material fraud, submit report within 5 working days, and provide resolution summary within 10 working days.


",Incident reporting timelines; governance policies; technology risk controls; cyber intrusion detection; IT Incident Categorization," In exercising its powers in relation to payment systems under the Oversight Act, the BDCB shall have regard to the interests of the public, and in this respect, the Authority may take into consideration — (a) whether any payment system is, in the opinion of the Authority — (i) financially safe for use by participants; (ii) efficient; and (iii) not materially causing or contributing to increased risk to the financial system; and (b) such other matters as the Authority may consider to be relevant.","TRM framework with fraud‑related IT controls;
Identification and annual review of critical systems
Prior notification for new or changed systems;
Mandatory UAT, VA, and penetration testing;
Due diligence for third‑party system integrations;
Maintenance of IT third‑party arrangement lists;
Ongoing testing and monthly reporting for AI systems","Banks to notify BDCB within 1 working day upon detection of suspected material fraud, submit report within 5 working days, and provide resolution summary within 10 working days

","Yes, as provided under Appendix 1 & Schedule 2 of the BDCB's Notice on Reporting of Fraud Incidents","Date and time incident was discovered.
Type of fraud incident.
Optional fields: Possible root cause; Possible impact;
Possible actions to be taken.

Resolution Summary

Duration to resolve the incident.
Actions taken to resolve the incident.","Administrative penalties, directives, suspension/revocation (Oversight Act).",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192670269190.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192670269190.pdf,
Brunei Darussalam,Brunei Darussalam Central Bank (BDCB),Notice on Reporting of Fraud Incidents (BU/N-3/2022/74),2023.0,"All banks in Brunei Darussalam licensed under  Banking Order, 2006;

All licensed, registered, or regulated financial institutions  and approved operators of payment systems that have been approved to operate in BruneiDarussalam






","•	Notice on Reporting of Fraud Incidents : Banks must establish their own fraud policy approved by their respective Board of Directors. The policy should define the classification of fraud incidents (material or non-material). Banks shall also notify BDCB within 1 working day upon detection of suspected material fraud, submit report within 5 working days, and provide resolution summary within 10 working days.


",Incident reporting timelines; governance policies; technology risk controls; cyber intrusion detection; IT Incident Categorization," In exercising its powers in relation to payment systems under the Oversight Act, the BDCB shall have regard to the interests of the public, and in this respect, the Authority may take into consideration — (a) whether any payment system is, in the opinion of the Authority — (i) financially safe for use by participants; (ii) efficient; and (iii) not materially causing or contributing to increased risk to the financial system; and (b) such other matters as the Authority may consider to be relevant.","TRM framework with fraud‑related IT controls;
Identification and annual review of critical systems
Prior notification for new or changed systems;
Mandatory UAT, VA, and penetration testing;
Due diligence for third‑party system integrations;
Maintenance of IT third‑party arrangement lists;
Ongoing testing and monthly reporting for AI systems","Banks to notify BDCB within 1 working day upon detection of suspected material fraud, submit report within 5 working days, and provide resolution summary within 10 working days

","Yes, as provided under Appendix 1 & Schedule 2 of the BDCB's Notice on Reporting of Fraud Incidents","Date and time incident was discovered.
Type of fraud incident.
Optional fields: Possible root cause; Possible impact;
Possible actions to be taken.

Resolution Summary

Duration to resolve the incident.
Actions taken to resolve the incident.","Administrative penalties, directives, suspension/revocation (Oversight Act).",https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192670269190.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192670269190.pdf,Notice on Reporting of Fraud Incidents (BU/N-3/2022/74) (2022)
Brunei Darussalam,,Notice on Technology Risk Management (TRM) (TRS/N-1/2023/2),2023,"All banks in Brunei Darussalam licensed under  Banking Order, 2006;

All licensed, registered, or regulated financial institutions  and approved operators of payment systems that have been approved to operate in BruneiDarussalam","Notice on Technology Risk Management requires incorporation of IT risks into Three Lines of Defence, identification/testing of critical systems, notification of system changes, maintaining 3rd party lists and self-assessments. ",,,,,,,,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192628458350.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17111192628458350.pdf,
Brunei Darussalam,,"Payment and Settlement Systems (Oversight) Act, Cap 251",,"All banks in Brunei Darussalam licensed under  Banking Order, 2006;

All licensed, registered, or regulated financial institutions  and approved operators of payment systems that have been approved to operate in BruneiDarussalam","The Oversight Act sets BDCB powers to issue directions, require periodic reports, and oversee payment systems.",,,,,,,,"https://www.bdcb.gov.bn/docs/regulatory/payment-services/Payment%20and%20Settlement%20Systems%20(Oversight)%20Act,%20Cap%20251.pdf","https://www.bdcb.gov.bn/docs/regulatory/payment-services/Payment%20and%20Settlement%20Systems%20(Oversight)%20Act,%20Cap%20251.pdf",
,,Notice on Early Detection on Cyberintrusion and Incident Reporting (Notice No. TRS/N-1/2020/1),2024.0,"The Notice is issued pursuant to Section 66 of the Banking Order, 2006 and section 66 of the Islamic Banking Order, 2008 and applies to all banks and Islamic banks in Brunei Darussalam.","Provides guidance for banks in determining categories of IT incidents based on the impact severity of IT incidents (IT Incident Categorization). The list is non-exhaustive and is witout prejudice to the generality of the definitions of ""Major IT Incident"" and ""Near-miss IT Incident""",,,,,,,,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17138600253557400.pdf,https://cms.bdcb.gov.bn/storage/uploads/regulatories/17138600253557400.pdf,
,,Brunei Computer Emergency Response Team (BruCERT),2024.0,"Established to enhance national cybersecurity, BruCERT collaborates with BDCB and international bodies to prevent and respond to fraudulent digital activities.",,,,,,,,,https://www.brucert.org.bn,https://www.brucert.org.bn,
Cambodia,National Bank of Cambodia (NBC),Prakas on Systemic Risk Management of Payment System (B9-06-235);,2010.0,"All banks, Microfinance Institutions, insurers, capital market firms, and other licensed financial institutions, all regulated by NBC, CAFIU, and MEF. ","•	Mandatory verification of customer identity.
•	Ultimate Beneficial Ownership (UBO): Identify and verify the true owners of accounts or companies.
•	Enhanced due diligence for government officials, their families, and associates.
•	Customers must be classified into risk levels (low, medium, high) based on activity and background.
•	Systems must detect unusual or suspicious transactions.
•	Automated alerts for large or unusual transfers.
•	Extra scrutiny for international transactions to prevent money laundering and fraud.
•	PSPs must implement secure systems to prevent hacking and unauthorized access.
•	Backup and recovery plans to prevent fraud during outages.
•	Mandatory reporting to NBC’s Financial Intelligence Unit.
•	Continuous review of customer activity.
•	PSPs must provide clear channels for fraud complaints.
•	Customer funds must be segregated and protected from misuse.","Led by the Cambodia Financial Intelligence Unit (CAFIU) and supported by industry initiatives (ABC) and international AML/CFT standards. CAFIU collects, analyzes, and disseminates Suspicious Transaction Reports (STRs) from banks, insurers, and other financial institutions and coordinates with international bodies like the Asia/Pacific Group on Money Laundering (APG) and Financial Action Task Force (FATF).

","The system relies on KYC, transaction monitoring, suspicious activity reporting, and regulatory inspections to combat fraud across banks, MFIs, insurers, and payment providers.","•	Mandatory identity verification for opening bank accounts, mobile wallets, and insurance policies.
•	Requires national ID, passport, or business registration documents.
•	Fingerprint and facial recognition 
•	Two-Factor Authentication (2FA) combines password/PIN + SMS OTP (one-time password) or app-based token.
•	Real-time monitoring of unusual or suspicious activity.","Incident reporting is sector-specific: CamCERT for cybersecurity and CAFIU for financial fraud. Reporting channels include online forms, emails, phone hotlines, and structured databases, all designed to strengthen transparency, security, and compliance.

CAIFU requires Suspicious Transaction Reports (STRs) from banks, insurers, and payment service providers. Covered institutions are required to report fraud, money laundering, or unusual financial activity.","NBC requires banks and financial institutions to use standardized reporting templates, prescribed under its Prakas (regulations), for financial, prudential, and compliance reporting. ","•	Balance Sheet 
o	Assets (cash, deposits, loans, investments)
o	Liabilities (deposits, borrowings, payables)
o	Equity (capital, reserves, retained earnings)
•	Income Statement 
o	Interest income and expenses
o	Non-interest income (fees, commissions)
o	Operating expenses
o	Net profit/loss
•	Capital Adequacy Ratio (CAR)
•	Liquidity Coverage Ratio (LCR)
•	Loan-to-Deposit Ratio (LDR)
•	Large Exposure Limits (concentration risk reporting)
•	Loan classification (standard, substandard, doubtful, loss)
•	Provisioning requirements
•	Sectoral distribution of loans (agriculture, trade, services, etc.)
•	Non-performing loans (NPLs) and recovery actions
•	Foreign exchange exposure
•	Interest rate risk
•	Operational risk events
•	Anti-Money Laundering (AML) compliance reporting
•	Loan portfolio by client type (individual, group, SME)
•	Average loan size
•	Client outreach (number of borrowers, geographic distribution)
•	Social performance indicators (if required by NBC)","Revocation, fines, or suspension under NBC Prakas authority.",https://www.nbc.gov.kh/download_files/legislation/prakas_eng/9560B9-06-235.pdf;,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/9560B9-06-235.pdf;,
Cambodia,,Prakas on Clearing System of Settlement Payment (B9-06-234);,2006,"All banks, Microfinance Institutions, insurers, capital market firms, and other licensed financial institutions, all regulated by NBC, CAFIU, and MEF. ",,,,,,,,,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/4807B9-06-234.pdf;,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/4807B9-06-234.pdf;,
Cambodia,,Prakas on Third-Party Processors (B-9-010-151),2010,"All banks, Microfinance Institutions, insurers, capital market firms, and other licensed financial institutions, all regulated by NBC, CAFIU, and MEF. ",,,,,,,,,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/595B9-010-151.pdf,https://www.nbc.gov.kh/download_files/legislation/prakas_eng/595B9-010-151.pdf,
Indonesia,Bank Indonesia (BI); Otoritas Jasa Keuangan (OJK),PBI No. 2/2024 on Information System Security and Cyber Resilience;,2025.0,"Payment service providers (PJP), payment infrastructure providers (PIP), BI-FAST participants; all financial institutions under OJK (LJKs)","OJK mandates anti-fraud strategy across LJKs with four pillars (prevention, detection, investigation/reporting/sanctions, monitoring/evaluation), fraud detection systems, and reporting of significant fraud. BI-FAST PADG requires participants to operate fraud management systems, respond to proactive risk manager (PRM) alerts, and, in the 2025 amendment, implement a central Fraud Detection System (FDS), incident response teams, reconciliation, and enhanced IT protections. ",Fraud management systems; central fraud detection; cyber resilience; transaction monitoring,"Risk-based controls, transaction notifications, transaction limits, alerts for credit card; prevention of suspicious transfers; mechanism to compensate financial losses of 
electronic money users (PBI No. 23/6/2021)",Strong authentication; security baselines; PRM/FDS analytics; IT minimum protections,KKS and PADG specify incident response and reporting to BI; POJK requires reporting significant fraud to OJK,Yes (BI reporting portal).,"- Operator Identity
-Incident Classification (type of cyberattack or threat (e.g., malware, phishing, data breach, system outage).
-Incident Description
-Impact Assessment (systems or data affected, financial impact or potential for financial loss, operational disruption)
-Action Taken (Immediate & Ongoing)
-Timeline (Time of detection, start time of the incident, and time of report submission)
-Person responsible for the report. 
","Administrative sanctions by BI/OJK (warnings, fines, suspension, revocation).",https://www.bi.go.id/id/publikasi/peraturan/Documents/PBI_022024.pdf,https://www.bi.go.id/id/publikasi/peraturan/Pages/PBI_022024.aspx,
